rate,window_duration,p_click_heralded
5.00e+07,1.00e-07,1.0e-03,0.776555
5.00e+07,1.00e-07,1.0e-02,0.780616
5.00e+07,1.00e-07,1.0e-01,0.813924
5.00e+07,2.00e-07,1.0e-08,0.924122
5.00e+07,2.00e-07,1.0e-07,0.924602
5.00e+07,2.00e-07,1.0e-06,0.923782
5.00e+07,2.00e-07,1.0e-05,0.923082
5.00e+07,2.00e-07,1.0e-04,0.924240
5.00e+07,2.00e-07,1.0e-03,0.923468
5.00e+07,2.00e-07,1.0e-02,0.927902
5.00e+07,2.00e-07,1.0e-01,0.942995
5.00e+07,5.00e-07,1.0e-08,0.997850
5.00e+07,5.00e-07,1.0e-07,0.998060
5.00e+07,5.00e-07,1.0e-06,0.998260
5.00e+07,5.00e-07,1.0e-05,0.998160
5.00e+07,5.00e-07,1.0e-04,0.998140
5.00e+07,5.00e-07,1.0e-03,0.998440
5.00e+07,5.00e-07,1.0e-02,0.998300
5.00e+07,5.00e-07,1.0e-01,0.999060
5.00e+07,1.00e-06,1.0e-08,1.000000
5.00e+07,1.00e-06,1.0e-07,1.000000
5.00e+07,1.00e-06,1.0e-06,0.999990
5.00e+07,1.00e-06,1.0e-05,0.999990
5.00e+07,1.00e-06,1.0e-04,1.000000
5.00e+07,1.00e-06,1.0e-03,0.999990
5.00e+07,1.00e-06,1.0e-02,1.000000
5.00e+07,1.00e-06,1.0e-01,1.000000
1.00e+08,1.00e-08,1.0e-08,0.563342
1.00e+08,1.00e-08,1.0e-07,0.564182
1.00e+08,1.00e-08,1.0e-06,0.566166
1.00e+08,1.00e-08,1.0e-05,0.562807
1.00e+08,1.00e-08,1.0e-04,0.562169
1.00e+08,1.00e-08,1.0e-03,0.562793
1.00e+08,1.00e-08,1.0e-02,0.568256
1.00e+08,1.00e-08,1.0e-01,0.607832
1.00e+08,2.00e-08,1.0e-08,0.622394
1.00e+08,2.00e-08,1.0e-07,0.623082
1.00e+08,2.00e-08,1.0e-06,0.624412
1.00e+08,2.00e-08,1.0e-05,0.621409
1.00e+08,2.00e-08,1.0e-04,0.625089
1.00e+08,2.00e-08,1.0e-03,0.621551
1.00e+08,2.00e-08,1.0e-02,0.629348
1.00e+08,2.00e-08,1.0e-01,0.667287
1.00e+08,5.00e-08,1.0e-08,0.776011
1.00e+08,5.00e-08,1.0e-07,0.777845
1.00e+08,5.00e-08,1.0e-06,0.775577
1.00e+08,5.00e-08,1.0e-05,0.779238
1.00e+08,5.00e-08,1.0e-04,0.778875
1.00e+08,5.00e-08,1.0e-03,0.777648
1.00e+08,5.00e-08,1.0e-02,0.779863
1.00e+08,5.00e-08,1.0e-01,0.813710
1.00e+08,1.00e-07,1.0e-08,0.924049
1.00e+08,1.00e-07,1.0e-07,0.923711
1.00e+08,1.00e-07,1.0e-06,0.923938
1.00e+08,1.00e-07,1.0e-05,0.923705
1.00e+08,1.00e-07,1.0e-04,0.924423
1.00e+08,1.00e-07,1.0e-03,0.924576
1.00e+08,1.00e-07,1.0e-02,0.926605
1.00e+08,1.00e-07,1.0e-01,0.943646
1.00e+08,2.00e-07,1.0e-08,0.992919
1.00e+08,2.00e-07,1.0e-07,0.993290
1.00e+08,2.00e-07,1.0e-06,0.993409
1.00e+08,2.00e-07,1.0e-05,0.993210
1.00e+08,2.00e-07,1.0e-04,0.993170
1.00e+08,2.00e-07,1.0e-03,0.993350
1.00e+08,2.00e-07,1.0e-02,0.993760
1.00e+08,2.00e-07,1.0e-01,0.995720
1.00e+08,5.00e-07,1.0e-08,1.000000
1.00e+08,5.00e-07,1.0e-07,1.000000
1.00e+08,5.00e-07,1.0e-06,0.999990
1.00e+08,5.00e-07,1.0e-05,0.999980
1.00e+08,5.00e-07,1.0e-04,0.999990
1.00e+08,5.00e-07,1.0e-03,0.999990
1.00e+08,5.00e-07,1.0e-02,0.999990
1.00e+08,5.00e-07,1.0e-01,1.000000
1.00e+08,1.00e-06,1.0e-08,1.000000
1.00e+08,1.00e-06,1.0e-07,1.000000
1.00e+08,1.00e-06,1.0e-06,1.000000
1.00e+08,1.00e-06,1.0e-05,1.000000
1.00e+08,1.00e-06,1.0e-04,1.000000
1.00e+08,1.00e-06,1.0e-03,1.000000
1.00e+08,1.00e-06,1.0e-02,1.000000
1.00e+08,1.00e-06,1.0e-01,1.000000
2.00e+08,1.00e-08,1.0e-08,0.626668
2.00e+08,1.00e-08,1.0e-07,0.619618
2.00e+08,1.00e-08,1.0e-06,0.623690
2.00e+08,1.00e-08,1.0e-05,0.623419
2.00e+08,1.00e-08,1.0e-04,0.624804
2.00e+08,1.00e-08,1.0e-03,0.622133
2.00e+08,1.00e-08,1.0e-02,0.626922
2.00e+08,1.00e-08,1.0e-01,0.670541
2.00e+08,2.00e-08,1.0e-08,0.729641
2.00e+08,2.00e-08,1.0e-07,0.730042
2.00e+08,2.00e-08,1.0e-06,0.730755
